State,Establishments_2022,Establishments_2015,CAGR_Percentage
Johor,15727,16259,-0.47
Kedah,6603,12181,-8.38
Kelantan,7181,11434,-6.43
Melaka,4838,7298,-5.70
Negeri Sembilan,6362,8471,-4.01
Pahang,6841,8397,-2.89
Pulau Pinang,11432,12272,-1.01
Perak,11551,15072,-3.73
Perlis,1475,1886,-3.45
Selangor,24625,28793,-2.21
Terengganu,6825,8319,-2.79
Sabah,7875,7447,0.80
Sarawak,10654,10804,-0.20
WP K Lumpur,11692,18143,-6.08
WP Labuan,369,379,-0.38
WP Putrajaya,246,335,-4.32
